Learner g,Learner m,Score,Approach,DGP,level,Coverage,CI Length,Bias,Loss g,Loss m,repetition
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp1,0.9,0.76,0.03514583618402707,0.012086933097448243,1.4920664942490383,0.9826812820928352,500
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp1,0.95,0.822,0.04187884684603002,0.012086933097448243,1.4920664942490383,0.9826812820928352,500
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp2,0.9,0.902,0.0352112355264963,0.00848052574435656,1.4868097497063664,0.9728827523238984,500
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp2,0.95,0.942,0.0419567749690873,0.00848052574435656,1.4868097497063664,0.9728827523238984,500
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp3,0.9,0.0,0.04310727857260173,0.14671677416272066,1.571773745295489,1.0622433672042766,500
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp3,0.95,0.0,0.05136549057585367,0.14671677416272066,1.571773745295489,1.0622433672042766,500
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp1,0.9,0.232,0.038406550228071955,0.02742550727028207,1.483764048404902,0.999212223907986,500
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp1,0.95,0.364,0.04576422727471694,0.02742550727028207,1.483764048404902,0.999212223907986,500
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp2,0.9,0.86,0.04234693897695462,0.011253246849524612,1.4856533799380605,0.9964954831115506,500
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp2,0.95,0.924,0.05045949006670804,0.011253246849524612,1.4856533799380605,0.9964954831115506,500
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp3,0.9,0.0,0.049156980333193705,0.10411713452491797,1.5940307485754293,1.2923084248152257,500
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp3,0.95,0.0,0.05857415484462794,0.10411713452491797,1.5940307485754293,1.2923084248152257,500
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp1,0.9,0.62,0.04102050808679343,0.017937560761299848,1.4771745005369754,1.4770380880496619,500
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp1,0.95,0.732,0.0488789501754378,0.017937560761299848,1.4771745005369754,1.4770380880496619,500
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp2,0.9,0.882,0.04190905372606799,0.010488386999141841,1.4488914582957235,1.4558939353569655,500
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp2,0.95,0.934,0.04993771760803054,0.010488386999141841,1.4488914582957235,1.4558939353569655,500
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp3,0.9,0.0,0.04370250031217863,0.1707879261368483,1.6051273815372227,1.632153918330209,500
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp3,0.95,0.0,0.052074741024204015,0.1707879261368483,1.6051273815372227,1.632153918330209,500
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp1,0.9,0.86,0.03552645391101902,0.009773574848443971,0.975237573251918,0.9746874056099604,500
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp1,0.95,0.91,0.0423323808411274,0.009773574848443971,0.975237573251918,0.9746874056099604,500
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp2,0.9,0.9,0.03215088012049884,0.00768267021100153,0.9766529183354105,1.0740756727445167,500
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp2,0.95,0.94,0.03831013658293233,0.00768267021100153,0.9766529183354105,1.0740756727445167,500
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp3,0.9,0.0,0.03145360311737441,0.6525229675042551,1.254590697442093,1.6629745312688475,500
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp3,0.95,0.0,0.03747927978754392,0.6525229675042551,1.254590697442093,1.6629745312688475,500
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.9,0.884,0.035521703515894315,0.009263409558316846,1.7589959457732671,0.9827241499397525,500
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.95,0.934,0.04232672039620745,0.009263409558316846,1.7589959457732671,0.9827241499397525,500
